full_name,namespace,name,reason
"LightMachinegun","","LightMachinegun","assembly-local dependency"
"LimitedOfferConfirmDialog","","LimitedOfferConfirmDialog","closure root"
"LimitedOfferManager","","LimitedOfferManager","closure root"
"LineTrailRenderer","","LineTrailRenderer","assembly-local dependency"
"LinkButton","","LinkButton","closure root"
"LiquidFireArrow","","LiquidFireArrow","closure root"
"LocalNotifications.Notification","LocalNotifications","Notification","assembly-local dependency"
"LocalNotifications.NotificationScheduler","LocalNotifications","NotificationScheduler","closure root"
"LocalNotifications.PlayerSegmentData","LocalNotifications","PlayerSegmentData","closure root"
"LocalNotifications.Segment","LocalNotifications","Segment","assembly-local dependency"
"LoyaltyGuiRecord","","LoyaltyGuiRecord","closure root"
"LoyaltyManager","","LoyaltyManager","closure root"
"MCAAPPOODOF","","MCAAPPOODOF","assembly-local dependency"
"MELJMFMMMPE","","MELJMFMMMPE","assembly-local dependency"
"MGCPPEDHNAP","","MGCPPEDHNAP","assembly-local dependency"
"MGGKGHDNLMA","","MGGKGHDNLMA","assembly-local dependency"
"MIMLJNGKJHH","","MIMLJNGKJHH","assembly-local dependency"
"MKFNHOIAOOP","","MKFNHOIAOOP","assembly-local dependency"
"MNLPFJJCLHJ","","MNLPFJJCLHJ","assembly-local dependency"
"MainGameEntity","","MainGameEntity","assembly-local dependency"
"MainScreenSocial2","","MainScreenSocial2","closure root"
"MainScreenTransition","","MainScreenTransition","closure root"
"MainThreadCaller","","MainThreadCaller","closure root"
"MapDefinition","","MapDefinition","assembly-local dependency"
"MatchHistoryManager","","MatchHistoryManager","closure root"
"MatchShareManager","","MatchShareManager","closure root"
"MatchStats","","MatchStats","assembly-local dependency"
"MaterialsDetails","","MaterialsDetails","closure root"
"MechanicalUnit`1","","MechanicalUnit`1","assembly-local dependency"
"MemberRecord","","MemberRecord","assembly-local dependency"
"MessageCenterRecord","","MessageCenterRecord","assembly-local dependency"
"MidnightManager","","MidnightManager","closure root"
"Mine","","Mine","assembly-local dependency"
"MiniStarterPackBoxGuiRecord","","MiniStarterPackBoxGuiRecord","closure root"
"MiniStarterPackGuiRecord","","MiniStarterPackGuiRecord","closure root"
"Minigun","","Minigun","closure root"
"MinigunAugRecord","","MinigunAugRecord","closure root"
"MissionUnit","","MissionUnit","assembly-local dependency"
"ModelAttachments","","ModelAttachments","assembly-local dependency"
"MolotovGrenadeAmmo","","MolotovGrenadeAmmo","assembly-local dependency"
"NBBCLGNODPG","","NBBCLGNODPG","assembly-local dependency"
"NCBOCAKFEMN","","NCBOCAKFEMN","assembly-local dependency"
"NFGOAECKCLI","","NFGOAECKCLI","assembly-local dependency"
"NIAGGCHHKGI","","NIAGGCHHKGI","assembly-local dependency"
"NIKDALAFEAD","","NIKDALAFEAD","assembly-local dependency"
"NJDJFBKHGFM","","NJDJFBKHGFM","assembly-local dependency"
"NMPBGNOOKNO","","NMPBGNOOKNO","assembly-local dependency"
"NPFCGGMPFDN","","NPFCGGMPFDN","assembly-local dependency"
"NavigationAgent","","NavigationAgent","assembly-local dependency"
"NavigationHelperCapsule","","NavigationHelperCapsule","assembly-local dependency"
"NetworkObjectPool","","NetworkObjectPool","assembly-local dependency"
"NewDailyRewardManager","","NewDailyRewardManager","closure root"
"NotEnoughLoyaltyDialog","","NotEnoughLoyaltyDialog","closure root"
"OBHPOHFIOHJ","","OBHPOHFIOHJ","assembly-local dependency"
"ODLKOCCPNHL","","ODLKOCCPNHL","assembly-local dependency"
"OEGOKMEPDCK","","OEGOKMEPDCK","assembly-local dependency"
"OKLFMIFCOCF","","OKLFMIFCOCF","assembly-local dependency"
"OLCAMJEFKHO","","OLCAMJEFKHO","assembly-local dependency"
"OMKGPKMDMJB","","OMKGPKMDMJB","assembly-local dependency"
"ONNAEEJFLHK","","ONNAEEJFLHK","assembly-local dependency"
"OPGPFDFGCKE","","OPGPFDFGCKE","assembly-local dependency"
"ObjectPool","","ObjectPool","assembly-local dependency"
"ObjectiveGuiRecord","","ObjectiveGuiRecord","closure root"
"ObjectivesPart","","ObjectivesPart","closure root"
"OrbBehaviour","","OrbBehaviour","closure root"
"OrbBehaviourDefinititon","","OrbBehaviourDefinititon","assembly-local dependency"
"OtherDoubleUpgradeDialog","","OtherDoubleUpgradeDialog","closure root"
"OverseerOrb","","OverseerOrb","closure root"
"PEEMNNNBDJE","","PEEMNNNBDJE","assembly-local dependency"
"PHLLNOOPHAG","","PHLLNOOPHAG","assembly-local dependency"
"PHOFJEDENDJ","","PHOFJEDENDJ","assembly-local dependency"
"PJHAKBEHAGF","","PJHAKBEHAGF","assembly-local dependency"
"PKJGPADMMML","","PKJGPADMMML","assembly-local dependency"
"PNCKBHDLNPM","","PNCKBHDLNPM","assembly-local dependency"
"Parachute","","Parachute","assembly-local dependency"
"ParticleAutoDestroy","","ParticleAutoDestroy","closure root"
"ParticleType","","ParticleType","assembly-local dependency"
"PerkAffects","","PerkAffects","assembly-local dependency"
"PhysicalAmmo","","PhysicalAmmo","assembly-local dependency"
"PhysicalAmmoWeapon","","PhysicalAmmoWeapon","assembly-local dependency"
"PiggyBankEnd","","PiggyBankEnd","closure root"
"PiggyBankManager","","PiggyBankManager","closure root"
"PlayerAugmentations","","PlayerAugmentations","closure root"
"PlayerBot","","PlayerBot","assembly-local dependency"
"PlayerBotTutorial","","PlayerBotTutorial","assembly-local dependency"
"PlayerCoefficients","","PlayerCoefficients","closure root"
"PlayerController","","PlayerController","assembly-local dependency"
"PlayerIcon","","PlayerIcon","assembly-local dependency"
"PlayerInventory","","PlayerInventory","assembly-local dependency"
"PlayerLeagueIcon","","PlayerLeagueIcon","assembly-local dependency"
"PlayerLeagueLeftContent","","PlayerLeagueLeftContent","assembly-local dependency"
"PlayerLeagueRecord","","PlayerLeagueRecord","assembly-local dependency"
"PlayerPoint","","PlayerPoint","assembly-local dependency"
"PlayerPulseRifle","","PlayerPulseRifle","closure root"
"PlayerStats","","PlayerStats","assembly-local dependency"
"PlayerStatus","","PlayerStatus","assembly-local dependency"
"PlayerTwoModesWeapon","","PlayerTwoModesWeapon","closure root"
"PlayerVisual","","PlayerVisual","assembly-local dependency"
"PlayerVisualCategory","","PlayerVisualCategory","assembly-local dependency"
"PlayerVisualCategoryCamos","","PlayerVisualCategoryCamos","assembly-local dependency"
"PlayerVisualCategoryGeneric`1","","PlayerVisualCategoryGeneric`1","assembly-local dependency"
"PlayerVisualCategoryHeadAccesories","","PlayerVisualCategoryHeadAccesories","assembly-local dependency"
"PlayerVisualCategoryHelmets","","PlayerVisualCategoryHelmets","assembly-local dependency"
"PlayerVisualCategoryPowerBands","","PlayerVisualCategoryPowerBands","assembly-local dependency"
"PlayerVisualHead","","PlayerVisualHead","assembly-local dependency"
"PlayerWeapon","","PlayerWeapon","assembly-local dependency"
"PoisonArrow","","PoisonArrow","closure root"
"PoisonArrowSetup","","PoisonArrowSetup","closure root"
"PoolableObject","","PoolableObject","assembly-local dependency"
"PrestigeManager","","PrestigeManager","closure root"
"ProgressBarColor","","ProgressBarColor","assembly-local dependency"
"PulseRifleBeamRenderer","","PulseRifleBeamRenderer","closure root"
"PulseRifleBulletSetup","","PulseRifleBulletSetup","closure root"
"PulseRifleLevelsSetup","","PulseRifleLevelsSetup","closure root"
"PurchaseConfirmDialog","","PurchaseConfirmDialog","closure root"
"PurchaseThanksDialog","","PurchaseThanksDialog","closure root"
"QualificationRecord","","QualificationRecord","closure root"
"QualitySettingsDialog","","QualitySettingsDialog","closure root"
"RecruitGuiRecord","","RecruitGuiRecord","closure root"
"RecruitNoticeDialog","","RecruitNoticeDialog","closure root"
"RecruitRewardDialog","","RecruitRewardDialog","closure root"
"RecruitingPart","","RecruitingPart","closure root"
"RentalGuiBuyPart","","RentalGuiBuyPart","closure root"
"RentalManager","","RentalManager","closure root"
"RentalsDialog","","RentalsDialog","closure root"
"Request","","Request","assembly-local dependency"
"RequestBuffer","","RequestBuffer","assembly-local dependency"
"ResultsOffer","","ResultsOffer","closure root"
